Index;Tid;I1;U1;U2;HMI_trig;IO_trig;I_95_start;I_105_start;I_95_trip;I_105_trip;Bryterfeilvern
108;300991;-186;204;197;0;0;0;0;0;0;0
109;303804;-282;202;197;0;0;0;0;0;0;0
110;306617;-349;202;202;0;0;0;0;0;0;0
111;309430;-385;202;200;0;0;0;0;0;0;0
112;312243;-343;199;194;0;0;0;0;0;0;0
113;315056;-241;199;194;0;0;0;0;0;0;0
114;317869;-130;199;194;0;0;0;0;0;0;0
115;320682;-20;199;202;0;0;0;0;0;0;0
116;323495;27;204;200;0;0;0;0;0;0;0
117;326308;97;202;200;0;0;0;0;0;0;0
118;329121;144;202;200;0;0;0;0;0;0;0
119;331934;216;202;197;0;0;0;0;0;0;0
120;334747;318;196;194;0;0;0;0;0;0;0
121;337560;365;199;194;0;0;0;0;0;0;0
122;340373;382;202;200;0;0;0;0;0;0;0
123;343186;318;199;200;0;0;0;0;0;0;0
124;345999;213;199;200;0;0;0;0;0;0;0
125;348812;91;202;200;0;0;0;0;0;0;0
126;351625;11;199;200;0;0;0;0;0;0;0
127;354438;-53;196;197;0;0;0;0;0;0;0
128;357251;-116;199;192;0;0;0;0;0;0;0
129;360064;-158;196;200;0;0;0;0;0;0;0
130;362877;-260;199;200;0;0;0;0;0;0;0
131;365690;-341;204;200;0;0;0;0;0;0;0
132;368503;-382;202;200;0;0;0;0;0;0;0
133;371316;-368;199;200;0;0;0;0;0;0;0
134;374129;-280;199;197;0;0;0;0;0;0;0
135;376942;-175;199;197;0;0;0;0;0;0;0
136;379755;-53;202;197;0;0;0;0;0;0;0
137;382568;8;202;200;0;0;0;0;0;0;0
138;385381;83;202;200;0;0;0;0;0;0;0
139;388194;130;204;200;0;0;0;0;0;0;0
140;391007;185;199;194;0;0;0;0;0;0;0
141;393820;288;202;194;0;0;0;0;0;0;0
142;396633;357;196;194;0;0;0;0;0;0;0
143;399446;387;199;200;0;0;0;0;0;0;0
144;402259;351;202;197;0;0;0;0;0;0;0
145;405072;249;202;197;0;0;0;0;0;0;0
146;407885;135;202;197;0;0;0;0;0;0;0
147;410698;27;199;194;0;0;0;0;0;0;0
148;413511;-22;196;197;0;0;0;0;0;0;0
149;416324;-105;199;192;0;0;0;0;0;0;0
150;419137;-147;202;194;0;0;0;0;0;0;0
151;421950;-219;199;197;0;0;0;0;0;0;0
152;424763;-327;199;200;0;0;0;0;0;0;0
153;427576;-371;202;202;0;0;0;0;0;0;0
154;430389;-388;199;194;0;0;0;0;0;0;0
155;433202;-327;199;194;0;0;0;0;0;0;0
156;436015;-216;199;194;0;0;0;0;0;0;0
157;438828;-97;199;200;0;0;0;0;0;0;0
158;441641;-6;199;200;0;0;0;0;0;0;0
159;444454;50;202;202;0;0;0;0;0;0;0
160;447267;119;202;200;0;0;0;0;0;0;0
161;450080;163;202;200;0;0;0;0;0;0;0
162;452893;263;196;194;0;0;0;0;0;0;0
163;455706;337;199;197;0;0;0;0;0;0;0
164;458519;382;202;200;0;0;0;0;0;0;0
165;461332;371;202;200;0;0;0;0;0;0;0
166;464145;285;202;197;0;0;0;0;0;0;0
167;466958;171;199;205;0;0;0;0;0;0;0
168;469771;52;202;194;0;0;0;0;0;0;0
169;472584;-3;199;194;0;0;0;0;0;0;0
170;475397;-86;202;194;0;0;0;0;0;0;0
171;478210;-130;202;197;0;0;0;0;0;0;0
172;481023;-183;202;197;0;0;0;0;0;0;0
173;483836;-291;202;200;0;0;0;0;0;0;0
174;486649;-363;199;200;0;0;0;0;0;0;0
175;489462;-393;202;202;0;0;0;0;0;0;0
176;492275;-354;199;197;0;0;0;0;0;0;0
177;495088;-252;196;194;0;0;0;0;0;0;0
178;497901;-139;199;197;0;0;0;0;0;0;0
179;500714;-31;204;200;0;0;0;0;0;0;0
180;503527;19;199;202;0;0;0;0;0;0;0
181;506340;97;199;202;0;0;0;0;0;0;0
182;509153;149;196;197;0;0;0;0;0;0;0
183;511966;227;199;194;0;0;0;0;0;0;0
184;514779;324;196;194;0;0;0;0;0;0;0
185;517592;379;202;197;0;0;0;0;0;0;0
186;520405;398;204;197;0;0;0;0;0;0;0
187;523218;332;204;200;0;0;0;0;0;0;0
188;526031;218;199;200;0;0;0;0;0;0;0
189;528844;102;202;197;0;0;0;0;0;0;0
190;531657;5;199;197;0;0;0;0;0;0;0
191;534470;-58;204;197;0;0;0;0;0;0;0
192;537283;-119;196;194;0;0;0;0;0;0;0
193;540096;-166;199;197;0;0;0;0;0;0;0
194;542909;-260;199;200;0;0;0;0;0;0;0
195;545722;-352;202;202;0;0;0;0;0;0;0
196;548535;-388;196;197;0;0;0;0;0;0;0
197;551348;-379;202;200;0;0;0;0;0;0;0
198;554161;-294;199;192;0;0;0;0;0;0;0
199;556974;-183;199;194;0;0;0;0;0;0;0
200;559787;-56;199;200;0;0;0;0;0;0;0
201;562600;-3;199;200;0;0;0;0;0;0;0
202;565413;83;202;197;0;0;0;0;0;0;0
203;568226;135;199;200;0;0;0;0;0;0;0
204;571039;194;202;194;0;0;0;0;0;0;0
205;573852;288;199;194;0;0;0;0;0;0;0
206;576665;368;202;192;0;0;0;0;0;0;0
207;579478;396;199;197;0;0;0;0;0;0;0
208;582291;357;204;197;0;0;0;0;0;0;0
209;585104;257;199;202;0;0;0;0;0;0;0
210;587917;144;202;200;0;0;0;0;0;0;0
211;590730;36;199;197;0;0;0;0;0;0;0
212;593543;-20;199;194;0;0;0;0;0;0;0
213;596356;-94;199;192;0;0;0;0;0;0;0
214;599169;-144;199;200;0;0;0;0;0;0;0
215;601982;-213;199;194;0;0;0;0;0;0;0
216;604795;-318;199;202;0;0;0;0;0;0;0
217;607608;-377;204;197;0;0;0;0;0;0;0
218;610421;-388;202;197;0;0;0;0;0;0;0
219;613234;-332;199;194;0;0;0;0;0;0;0
220;616047;-219;199;194;0;0;0;0;0;0;0
221;618860;-108;199;197;0;0;0;0;0;0;0
222;621673;-6;202;202;0;0;0;0;0;0;0
223;624486;58;199;200;0;0;0;0;0;0;0
224;627299;116;199;202;0;0;0;0;0;0;0
225;630112;174;199;194;0;0;0;0;0;0;0
226;632925;266;196;197;0;0;0;0;0;0;0
227;635738;349;196;197;0;0;0;0;0;0;0
228;638551;390;199;197;0;0;0;0;0;0;0
229;641364;379;202;200;0;0;0;0;0;0;0
230;644177;290;204;202;0;0;0;0;0;0;0
231;646990;180;202;197;0;0;0;0;0;0;0
232;649803;52;199;194;0;0;0;0;0;0;0
233;652616;-8;199;194;0;0;0;0;0;0;0
234;655429;-80;194;197;0;0;0;0;0;0;0
235;658242;-133;202;194;0;0;0;0;0;0;0
236;661055;-183;199;202;0;0;0;0;0;0;0
237;663868;-288;199;197;0;0;0;0;0;0;0
238;666681;-363;202;197;0;0;0;0;0;0;0
239;669494;-396;202;197;0;0;0;0;0;0;0
240;672307;-357;196;197;0;0;0;0;0;0;0
241;675120;-249;199;192;0;0;0;0;0;0;0
242;677933;-139;199;194;0;0;0;0;0;0;0
243;680746;-28;202;197;0;0;0;0;0;0;0
244;683559;19;199;200;0;0;0;0;0;0;0
245;686372;97;199;202;0;0;0;0;0;0;0
246;689185;147;199;194;0;0;0;0;0;0;0
247;691998;224;199;200;0;0;0;0;0;0;0
248;694811;321;199;197;0;0;0;0;0;0;0
249;697624;379;199;192;0;0;0;0;0;0;0
250;700437;390;199;197;0;0;0;0;0;0;0
251;703250;329;202;197;0;0;0;0;0;0;0
252;706063;213;196;200;0;0;0;0;0;0;0
253;708876;97;199;200;0;0;0;0;0;0;0
254;711689;8;199;200;0;0;0;0;0;0;0
255;714502;-58;202;197;0;0;0;0;0;0;0
256;717315;-119;196;194;0;0;0;0;0;0;0
257;720128;-161;204;200;0;0;0;0;0;0;0
258;722941;-263;204;200;0;0;0;0;0;0;0
259;725754;-343;202;200;0;0;0;0;0;0;0
260;728567;-385;199;200;0;0;0;0;0;0;0
261;731380;-371;199;197;0;0;0;0;0;0;0
262;734193;-288;196;192;0;0;0;0;0;0;0
263;737006;-180;202;197;0;0;0;0;0;0;0
264;739819;-58;196;200;0;0;0;0;0;0;0
265;742632;5;202;200;0;0;0;0;0;0;0
266;745445;77;204;200;0;0;0;0;0;0;0
267;748258;130;199;200;0;0;0;0;0;0;0
268;751071;191;202;197;0;0;0;0;0;0;0
269;753884;288;196;194;0;0;0;0;0;0;0
270;756697;360;199;197;0;0;0;0;0;0;0
271;759510;393;196;200;0;0;0;0;0;0;0
272;762323;357;207;197;0;0;0;0;0;0;0
273;765136;252;199;200;0;0;0;0;0;0;0
274;767949;135;204;200;0;0;0;0;0;0;0
275;770762;30;196;197;0;0;0;0;0;0;0
276;773575;-20;196;200;0;0;0;0;0;0;0
277;776388;-97;199;197;0;0;0;0;0;0;0
278;779201;-144;202;197;0;0;0;0;0;0;0
279;782014;-213;199;200;0;0;0;0;0;0;0
280;784827;-324;202;202;0;0;0;0;0;0;0
281;787640;-368;202;200;0;0;0;0;0;0;0
282;790453;-385;202;200;0;0;0;0;0;0;0
283;793266;-324;202;200;0;0;0;0;0;0;0
284;796079;-224;196;197;0;0;0;0;0;0;0
285;798892;-108;196;200;0;0;0;0;0;0;0
286;801705;-6;204;200;0;0;0;0;0;0;0
287;804518;47;202;197;0;0;0;0;0;0;0
288;807331;116;202;200;0;0;0;0;0;0;0
289;810144;169;199;200;0;0;0;0;0;0;0
290;812957;266;202;197;0;0;0;0;0;0;0
291;815770;346;199;194;0;0;0;0;0;0;0
292;818583;382;199;197;0;0;0;0;0;0;0
293;821396;376;202;200;0;0;0;0;0;0;0
294;824209;282;202;200;0;0;0;0;0;0;0
295;827022;171;199;200;0;0;0;0;0;0;0
296;829835;55;202;197;0;0;0;0;0;0;0
297;832648;-3;202;194;0;0;0;0;0;0;0
298;835461;-83;199;197;0;0;0;0;0;0;0
299;838274;-133;202;194;0;0;0;0;0;0;0
300;841087;-177;202;202;0;0;0;0;0;0;0
301;843900;-285;199;205;0;0;0;0;0;0;0
302;846713;-357;204;197;0;0;0;0;0;0;0
303;849526;-390;202;197;0;0;0;0;0;0;0
304;852339;-349;199;197;0;0;0;0;0;0;0
305;855152;-249;199;194;0;0;0;0;0;0;0
306;857965;-136;202;197;0;0;0;0;0;0;0
307;860778;-31;199;200;0;0;0;0;0;0;0
308;863591;27;199;197;0;0;0;0;0;0;0
309;866404;99;199;200;0;0;0;0;0;0;0
310;869217;155;204;200;0;0;0;0;0;0;0
311;872030;224;199;197;0;0;0;0;0;0;0
